trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.94}",20,0,-40.01761106548656,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-48.24331588583344,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-59.75807453307375,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7899999999999998}",30,0,-195.85791342374242,"{0: 18, 1: 6, 2: 2, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,0,-84.71290195165534,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,10,-4.3805052847535215,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-130.90018648837383,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5899999999999996}",25,0,-120.44629322553959,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,0,-17.737670313189728,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4899999999999996}",20,0,-141.36039625493703,"{0: 7, 1: 10, 2: 0, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4399999999999996}",20,0,-71.60689749548474,"{0: 9, 1: 7, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.3899999999999996}",25,0,-19.434031027733415,"{0: 17, 1: 7, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.33999999999999964}",20,0,-33.51074081994217,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.28999999999999965}",20,0,-60.891750061672454,"{0: 10, 1: 7, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.23999999999999966}",25,0,-119.9674002577108,"{0: 11, 1: 10, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.18999999999999967}",25,0,0.8453496199697788,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.13999999999999968}",25,0,-20.84910812876706,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.08999999999999968}",20,0,-27.991897025068898,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.039999999999999675}",35,0,-70.5779241502451,"{0: 18, 1: 14, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -0.010000000000000328}",20,0,-15.02590272351475,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-31.97455904710128,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-28.74117340025649,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-18.698625087322974,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,6.2631304428585075,"{0: 24, 1: 6, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-31.009917613041168,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-27.343474241240283,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-34.21543654378052,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-26.579770381268382,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-22.897050169492417,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-20.571180235694783,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
