trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-160.21507403072872,"{0: 15, 1: 3, 2: 2, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-145.47956496347533,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",30,0,-150.69113819470263,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",35,0,-124.22043205579965,"{0: 19, 1: 5, 2: 10, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-106.37747596889801,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-77.01629283049715,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-44.51929364413797,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,3,-78.1730973966734,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-204.94189219863276,"{0: 18, 1: 3, 2: 3, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-163.85631168154484,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-128.80120612369802,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-72.00907728308223,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-61.61887025342449,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-69.9495706950205,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-128.9400048016299,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-103.6142838474752,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",30,0,-98.28318738370842,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,8,-56.86853320641811,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-50.78818229210986,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",30,0,-118.44935322779736,"{0: 20, 1: 3, 2: 3, 3: 3, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-136.30429786728627,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-76.55409608023996,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
