trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.64313113102838,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,10,-118.49583956538075,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-196.74767711119665,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,13,-25.603063773339713,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.2324638816107,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.86234209015765,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-194.71730034732752,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.42653244647497,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,9,-81.7918268908139,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.65488883939557,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.998787847903156,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.82871423220114,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-200.7812205367201,"{0: 18, 1: 0, 2: 8, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.95797069267368,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
